file_id,projectGroup,category,smellType,status,tInit,tFinal,first,last
A19144,A,Library,IMPLICIT_COLUMNS,0,2018-05-24 22:02:07,2019-08-28 22:07:57,1,1
A30823,A,Utility,IMPLICIT_COLUMNS,1,2012-02-08 19:34:46,2012-06-26 20:24:51,1,0
A55033,A,Utility,IMPLICIT_COLUMNS,0,2014-06-07 23:57:04,2014-08-07 00:00:00,1,0
A44566,A,Utility,IMPLICIT_COLUMNS,0,2012-01-05 09:23:05,2019-05-28 05:57:53,1,1
A44568,A,Utility,IMPLICIT_COLUMNS,0,2015-08-25 13:49:44,2019-05-28 05:57:53,0,1
A42313,A,Library,IMPLICIT_COLUMNS,0,2015-06-09 14:18:38,2019-07-27 06:55:32,1,1
JD182256,JD,Business,IMPLICIT_COLUMNS,0,2007-01-07 07:37:01,2015-03-02 02:21:29,1,0
JD180519,JD,Business,IMPLICIT_COLUMNS,0,2007-01-07 07:37:01,2015-03-02 02:21:29,1,0
JD182536,JD,Business,IMPLICIT_COLUMNS,0,2007-01-07 07:37:01,2015-03-02 02:21:29,1,0
JD182325,JD,Business,IMPLICIT_COLUMNS,0,2007-01-07 07:37:01,2015-03-02 02:21:29,1,0
JD182483,JD,Business,IMPLICIT_COLUMNS,0,2007-01-07 07:37:01,2007-03-04 22:00:21,1,1
JD3523,JD,Library,IMPLICIT_COLUMNS,0,2016-06-10 18:06:01,2019-10-07 18:12:02,1,1
JD3502,JD,Library,IMPLICIT_COLUMNS,1,2016-06-10 18:06:01,2017-09-27 07:44:42,1,0
JD3977,JD,Library,IMPLICIT_COLUMNS,0,2017-04-03 21:11:50,2019-10-07 18:12:02,1,1
JD3976,JD,Library,IMPLICIT_COLUMNS,0,2017-04-03 21:11:50,2019-10-07 18:12:02,1,1
JD3975,JD,Library,IMPLICIT_COLUMNS,0,2017-04-03 21:11:50,2019-10-07 18:12:02,1,1
JD3853,JD,Library,IMPLICIT_COLUMNS,0,2017-04-03 21:11:50,2019-10-07 18:12:02,1,1
JD168208,JD,Library,IMPLICIT_COLUMNS,1,2016-02-06 11:49:17,2019-09-18 14:52:38,1,0
JD47193,JD,Library,IMPLICIT_COLUMNS,0,2014-11-18 09:08:10,2015-12-21 07:25:04,1,1
JD47093,JD,Library,IMPLICIT_COLUMNS,0,2014-11-18 09:08:10,2015-12-21 07:25:04,1,1
JD47087,JD,Library,IMPLICIT_COLUMNS,0,2014-11-18 09:08:10,2015-12-21 07:25:04,1,1
JD47086,JD,Library,IMPLICIT_COLUMNS,0,2014-11-18 09:08:10,2015-12-21 07:25:04,1,1
JD47034,JD,Library,IMPLICIT_COLUMNS,0,2014-11-18 09:08:10,2015-12-21 07:25:04,1,1
JD47078,JD,Library,IMPLICIT_COLUMNS,0,2014-11-18 09:08:10,2015-12-21 07:25:04,1,1
JD47077,JD,Library,IMPLICIT_COLUMNS,0,2014-11-18 09:08:10,2015-12-21 07:25:04,1,1
JD47068,JD,Library,IMPLICIT_COLUMNS,0,2014-11-18 09:08:10,2015-12-21 07:25:04,1,1
JD69252,JD,Library,IMPLICIT_COLUMNS,0,2014-10-28 09:17:56,2019-09-06 00:14:58,1,1
JD134248,JD,Library,IMPLICIT_COLUMNS,0,2014-10-28 09:17:56,2019-09-06 00:14:58,1,1
JD64102,JD,Library,IMPLICIT_COLUMNS,0,2018-04-04 02:21:27,2019-10-09 08:16:03,1,1
JD64205,JD,Library,IMPLICIT_COLUMNS,0,2018-04-04 02:21:27,2019-10-09 08:16:03,1,1
JD94641,JD,Library,IMPLICIT_COLUMNS,0,2013-02-06 13:58:27,2019-07-07 10:48:02,1,1
JD105116,JD,Library,IMPLICIT_COLUMNS,0,2015-11-09 09:22:21,2019-09-27 09:37:29,1,1
JD104635,JD,Library,IMPLICIT_COLUMNS,0,2011-08-17 16:20:08,2019-09-27 09:37:29,1,1
JD89182,JD,Library,IMPLICIT_COLUMNS,0,2011-01-12 15:53:39,2019-09-27 09:37:29,0,1
JD28628,JD,Library,IMPLICIT_COLUMNS,0,2013-09-11 20:12:17,2015-03-01 20:09:24,1,1
JD28679,JD,Library,IMPLICIT_COLUMNS,0,2013-09-11 20:12:17,2015-03-01 20:09:24,1,1
JD28678,JD,Library,IMPLICIT_COLUMNS,0,2013-09-11 20:12:17,2015-03-01 20:09:24,1,1
JD28542,JD,Library,IMPLICIT_COLUMNS,0,2013-09-11 20:12:17,2015-03-01 20:09:24,1,1
JD175162,JD,Business,IMPLICIT_COLUMNS,0,2018-08-11 00:45:25,2019-10-08 14:14:50,1,1
JD90251,JD,Library,IMPLICIT_COLUMNS,0,2018-04-05 15:54:47,2019-10-01 16:46:04,1,1
JD90264,JD,Library,IMPLICIT_COLUMNS,0,2018-04-05 15:54:47,2019-10-01 16:46:04,1,1
JD93456,JD,Library,IMPLICIT_COLUMNS,0,2018-08-18 14:01:13,2019-10-01 16:46:04,1,1
