file_id,projectGroup,category,smellType,status,tInit,tFinal,first,last,T,days,DBsmell
A38524,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2014-12-22 11:45:33,1,1,187 days 19:55:03.000000000,187,True
A38530,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2014-12-22 11:45:33,1,1,187 days 19:55:03.000000000,187,True
A42121,A,Library,IMPLICIT_COLUMNS,0,2015-05-11 15:06:50,2016-07-13 15:10:48,1,0,429 days 00:03:58.000000000,429,True
A39523,A,Library,IMPLICIT_COLUMNS,0,2014-06-17 15:50:30,2016-11-10 08:53:03,1,0,876 days 17:02:33.000000000,876,True
A59355,A,Library,IMPLICIT_COLUMNS,1,2017-06-08 23:44:49,2017-08-25 00:57:11,1,0,77 days 01:12:22.000000000,77,True
A22340,A,Library,IMPLICIT_COLUMNS,0,2017-07-24 18:23:25,2019-08-10 13:14:50,1,1,746 days 18:51:25.000000000,746,True
A3746,A,Utility,IMPLICIT_COLUMNS,0,2017-10-26 09:02:18,2019-10-09 19:06:00,0,1,713 days 10:03:42.000000000,713,True
A39119,A,Library,IMPLICIT_COLUMNS,0,2012-02-01 00:54:32,2012-12-20 01:58:20,1,1,323 days 01:03:48.000000000,323,True
A30358,A,Utility,IMPLICIT_COLUMNS,0,2009-12-28 13:13:44,2011-11-01 21:28:41,1,1,673 days 08:14:57.000000000,673,True
A30447,A,Utility,IMPLICIT_COLUMNS,0,2010-11-29 07:53:21,2011-11-01 21:28:41,1,1,337 days 13:35:20.000000000,337,True
A30340,A,Utility,IMPLICIT_COLUMNS,0,2009-12-28 13:13:44,2011-11-01 21:28:41,1,1,673 days 08:14:57.000000000,673,True
A43643,A,Library,IMPLICIT_COLUMNS,0,2013-12-10 05:57:55,2019-10-09 20:47:09,0,1,2129 days 14:49:14.000000000,2129,True
A43640,A,Library,IMPLICIT_COLUMNS,0,2013-12-10 05:57:55,2019-10-09 20:47:09,1,1,2129 days 14:49:14.000000000,2129,True
A43639,A,Library,IMPLICIT_COLUMNS,0,2013-12-10 05:57:55,2019-10-09 20:47:09,1,1,2129 days 14:49:14.000000000,2129,True
A43593,A,Library,IMPLICIT_COLUMNS,0,2013-12-10 05:57:55,2014-11-20 06:23:13,1,1,345 days 00:25:18.000000000,345,True
A43530,A,Library,IMPLICIT_COLUMNS,0,2013-12-10 05:57:55,2014-11-20 06:23:13,1,1,345 days 00:25:18.000000000,345,True
A24085,A,Library,IMPLICIT_COLUMNS,0,2017-09-27 19:06:26,2018-09-21 19:50:45,1,1,359 days 00:44:19.000000000,359,True
A13315,A,Multimedia,IMPLICIT_COLUMNS,0,2013-03-25 11:38:17,2014-06-15 23:22:46,1,1,447 days 11:44:29.000000000,447,True
A12922,A,Library,IMPLICIT_COLUMNS,1,2017-06-22 16:42:36,2017-10-11 22:25:38,1,0,111 days 05:43:02.000000000,111,True
A19146,A,Library,IMPLICIT_COLUMNS,0,2018-05-24 22:02:07,2019-08-28 22:07:57,1,1,461 days 00:05:50.000000000,461,True
A19144,A,Library,IMPLICIT_COLUMNS,0,2018-05-24 22:02:07,2019-08-28 22:07:57,1,1,461 days 00:05:50.000000000,461,True
A30823,A,Utility,IMPLICIT_COLUMNS,1,2012-02-08 19:34:46,2012-06-26 20:24:51,1,0,139 days 00:50:05.000000000,139,True
A55033,A,Utility,IMPLICIT_COLUMNS,0,2014-06-07 23:57:04,2014-08-07 00:00:00,1,0,60 days 00:02:56.000000000,60,True
A44566,A,Utility,IMPLICIT_COLUMNS,0,2012-01-05 09:23:05,2019-05-28 05:57:53,1,1,2699 days 20:34:48.000000000,2699,True
A44568,A,Utility,IMPLICIT_COLUMNS,0,2015-08-25 13:49:44,2019-05-28 05:57:53,0,1,1371 days 16:08:09.000000000,1371,True
A42313,A,Library,IMPLICIT_COLUMNS,0,2015-06-09 14:18:38,2019-07-27 06:55:32,1,1,1508 days 16:36:54.000000000,1508,True
JD182256,JD,Business,IMPLICIT_COLUMNS,0,2007-01-07 07:37:01,2015-03-02 02:21:29,1,0,2975 days 18:44:28.000000000,2975,True
JD180519,JD,Business,IMPLICIT_COLUMNS,0,2007-01-07 07:37:01,2015-03-02 02:21:29,1,0,2975 days 18:44:28.000000000,2975,True
JD182536,JD,Business,IMPLICIT_COLUMNS,0,2007-01-07 07:37:01,2015-03-02 02:21:29,1,0,2975 days 18:44:28.000000000,2975,True
JD182325,JD,Business,IMPLICIT_COLUMNS,0,2007-01-07 07:37:01,2015-03-02 02:21:29,1,0,2975 days 18:44:28.000000000,2975,True
JD182483,JD,Business,IMPLICIT_COLUMNS,0,2007-01-07 07:37:01,2007-03-04 22:00:21,1,1,56 days 14:23:20.000000000,56,True
